review_year_day,avg_review_score
2018-08-31,4.216931216931217
2018-08-30,4.322666666666667
2018-08-29,4.266666666666667
2018-08-28,4.396017699115045
2018-08-27,4.0
2018-08-26,3.743362831858407
2018-08-25,4.2088772845953
2018-08-24,4.172774869109948
2018-08-23,4.1502890173410405
2018-08-22,4.260981912144703
2018-08-21,4.352941176470588
2018-08-20,4.0
2018-08-19,3.5277777777777777
2018-08-18,4.191214470284238
2018-08-17,4.2533692722371965
2018-08-16,4.222222222222222
2018-08-15,4.045569620253165
2018-08-14,4.288416075650118
2018-08-13,5.0
2018-08-12,3.4788732394366195
2018-08-11,4.178861788617886
2018-08-10,4.165697674418604
2018-08-09,4.196319018404908
2018-08-08,4.263297872340425
2018-08-07,4.325513196480938
2018-08-06,4.25
2018-08-05,3.95
2018-08-04,4.2392638036809815
2018-08-03,4.221476510067114
2018-08-02,4.15987460815047
2018-08-01,4.355670103092783
2018-07-31,4.378516624040921
2018-07-30,4.0
2018-07-29,4.042553191489362
2018-07-28,4.180428134556575
2018-07-27,4.235820895522388
2018-07-26,4.1301775147929
2018-07-25,4.295698924731183
2018-07-24,4.45983379501385
2018-07-23,5.0
2018-07-22,4.2025316455696204
2018-07-21,4.313084112149533
2018-07-20,2.6666666666666665
2018-07-19,2.0
2018-07-18,3.6666666666666665
2018-07-17,4.3090909090909095
2018-07-16,4.4
2018-07-15,4.091954022988506
2018-07-14,4.299065420560748
2018-07-13,4.303846153846154
2018-07-12,4.4352159468438535
2018-07-11,4.312903225806451
2018-07-10,4.259803921568627
2018-07-09,4.0
2018-07-08,4.256756756756757
2018-07-07,4.267441860465116
2018-07-06,4.3112033195020745
2018-07-05,4.332089552238806
2018-07-04,4.247422680412371
2018-07-03,4.459016393442623
2018-07-02,4.666666666666667
2018-07-01,4.069306930693069
2018-06-30,4.264516129032258
2018-06-29,4.385852090032154
2018-06-28,4.32258064516129
2018-06-27,4.2562277580071175
2018-06-26,4.3896103896103895
2018-06-25,4.461538461538462
2018-06-24,4.2465753424657535
2018-06-23,4.488721804511278
2018-06-22,4.3567073170731705
2018-06-21,4.275974025974026
2018-06-20,4.4207119741100325
2018-06-19,4.296187683284457
2018-06-18,4.285714285714286
2018-06-17,4.078947368421052
2018-06-16,4.248275862068965
2018-06-15,4.165322580645161
2018-06-14,4.156626506024097
2018-06-13,4.296747967479675
2018-06-12,4.264150943396227
2018-06-11,4.705882352941177
2018-06-10,3.3545454545454545
2018-06-09,4.002906976744186
2018-06-08,3.9449035812672175
2018-06-07,4.093150684931507
2018-06-06,3.9426934097421205
2018-06-05,4.274143302180685
2018-06-04,4.542857142857143
2018-06-03,3.698529411764706
2018-06-02,4.244186046511628
2018-06-01,2.7017543859649122
2018-05-31,3.5533980582524274
2018-05-30,3.8244274809160306
2018-05-29,4.304761904761905
2018-05-28,5.0
2018-05-27,3.326923076923077
2018-05-26,3.9655172413793105
2018-05-25,4.253333333333333
2018-05-24,4.251677852348993
2018-05-23,4.176638176638177
2018-05-22,4.374396135265701
2018-05-21,4.375
2018-05-20,3.861788617886179
2018-05-19,4.193548387096774
2018-05-18,4.23463687150838
2018-05-17,4.126027397260274
2018-05-16,4.2
2018-05-15,4.357647058823529
2018-05-14,5.0
2018-05-13,3.91
2018-05-12,4.2924791086350975
2018-05-11,4.298295454545454
2018-05-10,4.22093023255814
2018-05-09,4.262247838616715
2018-05-08,4.289693593314763
2018-05-07,4.285714285714286
2018-05-06,3.7777777777777777
2018-05-05,4.239316239316239
2018-05-04,4.225728155339806
2018-05-03,4.332298136645963
2018-05-02,3.0172413793103448
